Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1351.6703
FDW14,OUT017,1378.7308
NCN55,OUT010,540.72723
FDQ58,OUT017,2552.0469
FDY38,OUT027,5821.574
FDH56,OUT046,1855.9662
FDL48,OUT018,586.84784
FDC48,OUT027,2255.518
FDN33,OUT045,1529.2605
FDA36,OUT017,3064.3428
FDT44,OUT017,1912.3975
FDQ56,OUT045,1329.7186
NCC54,OUT019,497.62476
FDU11,OUT049,2072.804
DRL59,OUT013,876.86786
FDM24,OUT049,2415.9795
FDI57,OUT045,3486.8071
DRC12,OUT018,2914.6172
NCM42,OUT027,2673.742
FDA46,OUT010,543.69354
FDA31,OUT013,2905.766
NCJ31,OUT035,3648.193
FDG52,OUT046,766.00305
NCL19,OUT019,348.42123
FDS10,OUT035,2958.1174
FDX22,OUT010,691.1297
NCF19,OUT035,813.74506
NCE06,OUT046,2267.2107
DRC27,OUT046,3793.6846
FDE21,OUT035,2024.6825
NCR42,OUT019,24.551117
FDX51,OUT018,2987.0203
NCR06,OUT018,487.13446
FDU31,OUT027,5922.0093
FDU59,OUT017,2476.7705
FDR03,OUT027,5493.4277
FDS49,OUT027,2293.115
FDD48,OUT010,262.7699
NCF18,OUT017,3101.6248
NCD43,OUT027,2703.203
NCD54,OUT018,1991.7151
FDY19,OUT010,204.51392
NCY54,OUT017,2851.5737
NCL19,OUT018,2174.1829
FDP23,OUT010,641.0281
FDC26,OUT013,1931.712
FDR14,OUT010,99.902145
NCS41,OUT035,3198.479
FDF41,OUT035,3862.649
FDU34,OUT046,2054.6711
DRH11,OUT046,901.13086
FDM03,OUT013,1841.9597
FDS31,OUT017,3031.625
FDJ20,OUT017,2080.544
FDV44,OUT027,5281.847
FDG02,OUT049,3161.6187
FDA09,OUT013,2966.4592
FDT04,OUT013,655.9192
FDL58,OUT019,559.57227
FDE52,OUT045,1365.251
FDW12,OUT035,2474.731
FDL51,OUT017,3396.077
NCY42,OUT027,3055.461
FDR07,OUT017,1506.5853
FDN40,OUT045,2380.5107
FDB35,OUT027,2369.889
FDA22,OUT017,2680.3396
NCL06,OUT046,4260.272
FDI35,OUT013,3107.6216
NCW42,OUT045,3501.9927
NCX06,OUT049,3136.8691
FDC37,OUT027,2665.1238
FDZ14,OUT018,1827.8726
DRG49,OUT049,3852.4192
NCG06,OUT045,3613.0205
DRC36,OUT045,2789.1367
FDV21,OUT019,307.73755
FDB53,OUT046,2416.1055
DRP47,OUT019,434.58615
FDA14,OUT013,2411.1863
DRC24,OUT035,2537.756
FDW21,OUT018,1430.4037
NCH29,OUT046,1533.2991
FDU58,OUT013,3111.799
FDY27,OUT017,2837.2468
FDV56,OUT035,1809.4657
FDT59,OUT046,3936.381
FDB23,OUT046,3493.5898
FDR49,OUT045,747.3803
FDB03,OUT010,500.5412
FDN39,OUT045,2232.6758
FDX02,OUT027,5901.457
FDQ16,OUT027,2690.816
FDU35,OUT018,1413.4725
NCT29,OUT013,2077.2744
FDZ27,OUT046,749.35144
FDN57,OUT017,2111.682
FDA03,OUT018,2106.0977
FDZ36,OUT045,3002.5547
NCU05,OUT013,1212.5334
FDT39,OUT018,2044.4169
FDK60,OUT017,1568.022
FDZ25,OUT017,2907.8313
FDG12,OUT046,2069.4104
DRB01,OUT019,501.02448
NCC43,OUT027,6037.4565
FDX13,OUT019,546.84735
